Q_num,Var_Name,Type,New Variable Name,Q_Scale,Unnamed: 5
Q59P,Trust: Your neighborhood,Ordinal,trust4,"4=Trust completely 
3=Trust somewhat 
2=Do not trust very much 
1=Do not trust at all",
Q60P,Trust: People you know personally,Ordinal,trust5,"4=Trust completely 
3=Trust somewhat 
2=Do not trust very much 
1=Do not trust at all",
Q61P,Trust: People you meet for the first time,Ordinal,trust6,"4=Trust completely 
3=Trust somewhat 
2=Do not trust very much 
1=Do not trust at all",
Q62P,Trust: People of another religion ,Ordinal,trust7,"4=Trust completely 
3=Trust somewhat 
2=Do not trust very much 
1=Do not trust at all",
Q63P,Trust: People of another nationality,Ordinal,trust8,"4=Trust completely 
3=Trust somewhat 
2=Do not trust very much 
1=Do not trust at all",
Q64P,Confidence: Churches ,Ordinal,trust9,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q65P,Confidence: Armed Forces,Ordinal,trust10,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q66P,Confidence: The Press,Ordinal,trust11,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q67P,Confidence: Television ,Ordinal,trust12,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q68P,Confidence: Labor Unions,Ordinal,trust13,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q69P,Confidence: The Police,Ordinal,trust14,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q70P,Confidence: Justice System/Courts,Ordinal,trust15,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q71P,Confidence: The Government,Ordinal,trust16,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q72P,Confidence: The Political Parties,Ordinal,trust17,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q73P,Confidence: Parliament,Ordinal,trust18,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q74P,Confidence: The Civil Services,Ordinal,trust19,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q75P,Confidence: Universities,Ordinal,trust20,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q76P,Confidence: Election,Ordinal,trust21,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q77P,Confidence: Major Companies,Ordinal,trust22,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q78P,Confidence: Banks,Ordinal,trust23,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q79P,Confidence: The Environmental Protection Movement,Ordinal,trust24,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q80P,Confidence: The Women ́s Movement,Ordinal,trust25,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q81P,Confidence: Charitable or humanitarian organizations,Ordinal,trust26,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q82P,Confidence: Major regional organization (combined from country-specific) ,Ordinal,trust27,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q83P,Confidence: The United Nations (UN) ,Ordinal,trust28,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q84P,Confidence: International Monetary Found (IMF),Ordinal,trust29,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q85P,Confidence: International Criminal Court (ICC),Ordinal,trust30,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q86P,Confidence: North Atlantic Treaty Organization (NATO) ,Ordinal,trust31,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q87P,Confidence: The World Bank (WB),Ordinal,trust32,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q88P,Confidence: The World Health Organization (WHO),Ordinal,trust33,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q89P,Confidence: The World Trade Organization (WTO),Ordinal,trust34,"4=A great deal 
3=Quite a lot 
2=Not very much 
1=None at all",
Q90,International organizations: being effective vs being democratic,Ordinal,ethical16,"1.- Being effective 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Being democratic",
Q91,Countries with the permanent seats on the UN Security Council,Nominal,UN_country,"1.- France 
2.- China 
3.- India",
Q92,Where are the headquarters of the International Monetary Fund (IMF) located?,Nominal,IMF_head,"1.- Washington DC 
2.- London 
3.- Geneva",
Q93,"Which of the following problems does the organization Amnesty International 
deal with?",Nominal,Amn_Int_org_prob,"1.- Climate change 
2.- Human rights 
3.- Destruction of historic monuments",
Q94,Active/Inactive membership: Church or religious organization,Ordinal,civic7,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q95,Active/Inactive membership: sport or recreational org ,Ordinal,civic8,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q96,"Active/Inactive membership: art, music, educational organization ",Ordinal,civic9,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q97,Active/Inactive membership: Labor union ,Ordinal,civic10,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q98,Active/Inactive membership: Political party,Ordinal,civic11,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q99,Active/Inactive membership: Environmental organization,Ordinal,civic12,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q100,Active/Inactive membership: professional organization ,Ordinal,civic13,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q101,Active/Inactive membership: charitable/humanitarian organization ,Ordinal,civic14,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q102,Active/Inactive membership: consumer organization,Ordinal,civic15,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q103,"Active/Inactive membership: Self-help group, mutual aid group ",Ordinal,civic16,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q104,Active/Inactive membership: women’s group,Ordinal,civic17,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q105,Active/Inactive membership: other organization,Ordinal,civic18,"0.- Don't belong 
1.- Inactive member 
2.- Active member",
Q106,Income equality vs larger income differences  ,Ordinal,income_eq_vs_diff,"1.- Incomes more equal 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Larger income differences",
Q107,Private vs state ownership of business,Ordinal,pri_vs_state,"1.- Private ownership of business should be increased  
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Government ownership of business should be increased ",
Q108,Government ́s vs individual ́s responsibility  ,Ordinal,gov_vs_individual,"1.- The government should take more responsibility to ensure that everyone is 
provided for 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- People should take more responsibility to provide for themselves",
Q109,Competition good or harmful,Ordinal,comp_good_vs_harm,"1.- Competition is good 
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Competition is harmful",
Q110,Success: hard work vs luck,Ordinal,growth9,"1.- In the long run, hard work usually brings a better life  
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- Hard work doesn ́t generally bring success - it ́s more a matter of luck and 
connections",
Q111,Protecting environment vs. Economic growth,Nominal,protect_env_vs_econ,"1.- A: Protect environment 
2.- B: Economic growth 
3.- Other answer",
Q112,Perceptions of corruption in the country,Ordinal,ethical17,"1.- 1= No corruption
2.- 2 
3.- 3 
4.- 4 
5.- 5 
6.- 6 
7.- 7 
8.- 8 
9.- 9 
10.- 10=Abundant corruption",
Q113,Involved in corruption: State authorities,Ordinal,ethical18,"1.- None of them 
2.- Few of them 
3.- Most of them 
4.- All of them",
Q114,Involved in corruption: Business executives,Ordinal,ethical19,"1.- None of them 
2.- Few of them 
3.- Most of them 
4.- All of them",
Q115,Involved in corruption: Local authorities,Ordinal,ethical20,"1.- None of them 
2.- Few of them 
3.- Most of them 
4.- All of them",
Q116,Involved in corruption: Civil service providers,Ordinal,ethical21,"1.- None of them 
2.- Few of them 
3.- Most of them 
4.- All of them",
Q117,Involved in corruption: Journalists and media,Ordinal,ethical22,"1.- None of them 
2.- Few of them 
3.- Most of them 
4.- All of them",
Q118,"Frequency  ordinary  people  pay  a  bribe,  give  a  gift  or  do  a  favor  to  local 
officials/service providers in order to get services ",Ordinal,ethical23,"1=Never 
2=Rarely 
3=Frequently 
4=Always",
Q119P,"Degree of agreement: On the whole, women are less corrupt than men",Ordinal,ga_women_less_corrupt,"0.- Hard to say 
1.- Strongly agree 
2.- Agree 
3.- Disagree 
4.- Strongly disagree",
Q120,Risk to be held accountable for giving or receiving a bribe,Ordinal,ethical24,"1=No risk at all 
2 
3 
4 
5 
6 
7 
8 
9 
10=Very high risk",
Q121,Impact of immigrants on the development of the country ,Ordinal,compassion1,"5=Very good 
4=Quite good 
3=Neither good, nor bad 
2=Quite bad 
1=Very bad",
Q122,Immigration in your country: Fills useful jobs in the workforce,Ordinal,civic19,"2=Agree 
1=Hard to say 
0=Disagree",
Q123,Immigration in your country: Strengthens cultural diversity,Ordinal,compassion2,"2=Agree 
1=Hard to say 
0=Disagree",
Q124,Immigration in your country: Increases the crime rate,Ordinal,ethical25,"2=Agree 
1=Hard to say 
0=Disagree",
Q125,Immigration in your country: Gives asylum to political refugees,Ordinal,compassion3,"2=Agree 
1=Hard to say 
0=Disagree",
Q126,Immigration in your country: Increases the risks of terrorism,Ordinal,ethical26,"2=Agree 
1=Hard to say 
0=Disagree",
Q127,Immigration in your country: Helps poor people establish new lives,Ordinal,compassion4,"2=Agree 
1=Hard to say 
0=Disagree",
Q128,Immigration in your country: Increases unemployment,Ordinal,civic20,"2=Agree 
1=Hard to say 
0=Disagree",
Q129,Immigration in your country: Leads to social conflict,Ordinal,ethical27,"2=Agree 
1=Hard to say 
0=Disagree",
Q130P,Immigration policy preference,Nominal,immig_policy_prefer,"4=Let anyone come who 
wants to 
3=Let people come as long as 
there are jobs available 
2=Place strict limits on the 
number of foreigners who can 
come here 
1=Prohibit people coming 
here from other countries ",
Q131P,Secure in neighborhood,Ordinal,safety5,"4=Very secure 
3=Quite secure 
2=Not very secure 
1=Not at all secure",
Q132P,Frequency in your neighborhood: Robberies,Ordinal,safety6,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",
Q133P,Frequency in your neighborhood: Alcohol consumed in the streets,Ordinal,safety7,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",
Q134P,"Frequency in your neighborhood: Police or military interfere with people’s private 
life ",Ordinal,safety8,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",
Q135P,Frequency in your neighborhood: Racist behavior,Ordinal,safety9,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",
Q136P,Frequency in your neighborhood: Drug sale in streets,Ordinal,safety10,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",
Q137P,Frequency in your neighborhood: Street violence and fights,Ordinal,safety11,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",
Q138P,Frequency in your neighborhood: Sexual harassment,Ordinal,safety12,"4=Very frequently 
3=Quite frequently 
2=Not frequently 
1=Not at all frequently",1.0
