Model,Best Params,Validation Accuracy,Validation AUC,Test Accuracy
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.01}",0.7881534569983136,0.8331510214997613,0.780299304433359
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.01}",0.7869589657110736,0.815359604526708,0.7749596009274222
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.0001}",0.78632658797077,0.8323282618918012,0.7773484156537623
SimpleMLP,"{'hidden_sizes': [64, 32], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.01}",0.7859752670039348,0.831948597648793,0.7764350453172205
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.001}",0.7830944350758853,0.8326660932798065,0.7724302676877679
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.7829539066891512,0.7909027858996887,0.7821260451064428
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7816891512085441,0.8329509216784673,0.7735544157942809
DCN,"{'hidden_sizes': [128, 64], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.001}",0.7796514896008994,0.7985317470058024,0.7746785639007939
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.0, 'lr': 0.0001, 'weight_decay': 0.0001}",0.7787380550871276,0.8342495450526612,0.7699711937047706
DCN,"{'hidden_sizes': [64, 32], 'dropout': 0.1, 'lr': 0.0003, 'weight_decay': 0.01}",0.776840921866217,0.7855698589426612,0.7720087121478255
SimpleMLP,"{'hidden_sizes': [32, 16], 'dropout': 0.1, 'lr': 0.0001, 'weight_decay': 0.001}",0.7755059021922428,0.8336831570738275,0.7680039345183728
DCN,"{'hidden_sizes': [32, 16], 'dropout': 0.2, 'lr': 0.0003, 'weight_decay': 0.001}",0.7746627318718381,0.795895896112697,0.7680039345183728
